"Co wykonuje JVM?","Bytecode z plików .class (nie kod źródłowy, nie kod maszynowy bezpośrednio)."
"Czym różni się bytecode od LTS?","LTS to model wsparcia dostawcy dla danego wydania, nie cecha języka/bytecode."
"Co oznacza zasada ""convention over configuration"" w Maven?","Trzymanie się ustalonych konwencji (układ katalogów, nazwy faz) sprawia, że pom.xml jest mały, bo Maven zna domyślne zachowanie."
"Co to GAV?","groupId:artifactId:version — współrzędne jednoznacznie identyfikujące artefakt w ekosystemie Maven."
"Gdzie trafia kod produkcyjny, a gdzie testowy?","Produkcyjny w src/main/java, testowy w src/test/java; wszystko generowane (.class, JAR) ląduje w target/."
"Wymień fazy default lifecycle.","validate → compile → test → package → verify → install → deploy."
"Co robi uruchomienie fazy w Maven?","Wykonuje tę fazę ORAZ wszystkie fazy ją poprzedzające (np. package odpala validate, compile, test)."
"Czym różni się faza od goala?","Faza to etap cyklu (wieszak, sama nic nie robi); goal to konkretne zadanie pluginu (plugin:goal) podpięte do fazy — to goale wykonują pracę."
"Co robi maven-surefire-plugin?","Uruchamia testy jednostkowe w fazie test."
"Czym jest fat/uber JAR i czym go zbudować?","JAR ze wszystkimi zależnościami i Main-Class, uruchamialny samodzielnie; budują go maven-shade-plugin lub spring-boot-maven-plugin."
"Co oznacza scope provided?","Zależność dostępna przy kompilacji i testach, ale NIE pakowana do artefaktu (dostarcza ją runtime/kontener, np. API serwletów, Lombok)."
"Który scope nie trafia do artefaktu, a jest tylko do testów?","test (np. JUnit, Mockito)."
"Co to zależności tranzytywne?","Zależności Twoich zależności, które Maven ściąga automatycznie — obejrzysz je przez mvn dependency:tree."
"Jak Maven rozwiązuje konflikt dwóch wersji tej samej biblioteki?","Regułą nearest-wins — wybiera wersję najbliższą w drzewie zależności (najmniejsza głębokość), nie najwyższą."
"W jakiej kolejności Maven szuka zależności?","Local repo (~/.m2) → Maven Central → repozytoria remote (np. Nexus/Artifactory)."
"Czym różni się mvn install od mvn package?","package buduje artefakt w target/; install dodatkowo instaluje go do local repo (~/.m2), by inne Twoje projekty mogły go używać."
"Do czego służy dependencyManagement / BOM?","Centralizuje wersje zależności (deklarujesz GAV bez version); BOM to importowany zestaw spójnych wersji gwarantujący kompatybilność."
"Kiedy Gradle zamiast Maven?","Gdy potrzebujesz elastycznej logiki buildu, wydajności (incremental build, cache, daemon) na dużym monorepo lub robisz Androida."
"Co to SDKMAN!?","Menedżer wersji dla ekosystemu JVM — instaluje i przełącza wiele JDK oraz narzędzi (Maven, Gradle) przez PATH/JAVA_HOME."
"Jak zainstalować SDKMAN?","curl -s ""https://get.sdkman.io"" | bash, potem source ""$HOME/.sdkman/bin/sdkman-init.sh""."
"Czym jest ""candidate"" w SDKMAN?","Zarządzane SDK/narzędzie — np. java, maven, gradle, kotlin, scala."
"Co oznacza sufiks ""-tem"" przy wersji Javy?","Dystrybucję Eclipse Temurin (Adoptium) — neutralny, w pełni open build OpenJDK."
"Różnica sdk use vs sdk default?","use = tylko bieżąca powłoka (do zamknięcia); default = globalnie, przestawia symlink current dla nowych sesji."
"Jak SDKMAN przełącza wersję pod spodem?","Symlinkiem ~/.sdkman/candidates/java/current; init w .bashrc dopisuje go do PATH i ustawia JAVA_HOME."
"Do czego służy plik .sdkmanrc?","Przypina wersje SDK per projekt (java=, maven=); sdk env ustawia je w katalogu — odpowiednik .nvmrc."
"Jak sprawdzić aktywną wersję Javy w SDKMAN?","sdk current java (lub java -version / which java wskazujący na ~/.sdkman)."
"Czym jest dystrybucja JDK?","Build OpenJDK od konkretnego dostawcy (Temurin, Corretto, Zulu, GraalVM) — zgodny ze standardem, różny support/licencja."
"Czym GraalVM różni się od zwykłego JDK?","Dodaje native image (AOT do natywnego binarki) i polyglot — sufiks -graal/-graalce."
"Czym jest jenv i czym różni się od SDKMAN?","jenv tylko przełącza JAVA_HOME między już zainstalowanymi JDK — nie instaluje ich, w przeciwieństwie do SDKMAN."
"Po co LTS zamiast najnowszej Javy do produkcji/nauki?","LTS (8/11/17/21/25) ma długie wsparcie i stabilność; non-LTS wygasa szybko — używaj go tylko do testów feature'ów."
