#separator:comma
#html:true
#notetype:Basic
#deck:Java::08 Bezpieczeństwo
"Z czego składa się JWT?","Trzy części base64url oddzielone kropkami: header.payload.signature."
"Przepływ uwierzytelniania w DAO?","AuthenticationManager (ProviderManager) → AuthenticationProvider (DaoAuthenticationProvider) → UserDetailsService.loadUserByUsername → UserDetails; potem PasswordEncoder.matches."
"Do czego służy UserDetailsService?","Ma jedną metodę loadUserByUsername(String) zwracającą UserDetails — ładuje użytkownika (np. z bazy) na potrzeby uwierzytelnienia."
"Czemu BCrypt jest celowo wolny?","Ma work factor (2^strength iteracji), co spowalnia każde sprawdzenie hasła i utrudnia brute-force; szybkie hashe (MD5/SHA-256) są niebezpieczne."
"Po co sól w hashu hasła?","Losowa sól sprawia, że identyczne hasła mają różne hashe i unieważnia tęczowe tablice; BCrypt ma sól wbudowaną w hash."
"Co robi DelegatingPasswordEncoder?","Zapisuje hash z prefiksem algorytmu, np. {bcrypt}..., dzięki czemu można migrować algorytmy bez wygaszania starych haseł."
"hasRole vs hasAuthority?","hasRole('ADMIN') sprawdza authority ROLE_ADMIN (Spring dokłada prefiks ROLE_); hasAuthority('ROLE_ADMIN') sprawdza dosłownie. Role to authorities z konwencją ROLE_."
"Jak działa @PreAuthorize?","Przez proxy AOP — Spring owija bean, przed metodą odpytuje AuthorizationManager (SpEL). Wywołanie wewnętrzne this.metoda() omija proxy i adnotacja nie zadziała."
"Co włącza @EnableMethodSecurity?","Adnotacje method security: @PreAuthorize/@PostAuthorize/@PreFilter/@PostFilter z wyrażeniami SpEL; zastąpiło @EnableGlobalMethodSecurity."
"Stateless vs stateful w Spring Security?","Stateful = SecurityContext w HttpSession + cookie JSESSIONID; stateless = brak sesji, tożsamość (JWT) w każdym żądaniu w nagłówku Authorization → łatwe skalowanie."
"Kiedy CSRF jest potrzebny?","Gdy przeglądarka automatycznie dołącza poświadczenia — czyli przy sesji/cookie i formularzach. Domyślnie włączony dla aplikacji stateful."
"Czemu przy stateless JWT często wyłącza się CSRF?","Bo token nosi się ręcznie w nagłówku Authorization, którego przeglądarka nie dokłada do cross-site żądań, więc wektor CSRF znika (chyba że JWT jest w cookie)."
"Czemu CorsFilter musi być przed authN w łańcuchu?","Bo preflight OPTIONS nie niesie poświadczeń — gdyby najpierw zadziałała autoryzacja, preflight dostałby 401."
"Jak wpiąć własny filtr JWT?","http.addFilterBefore(jwtFilter, UsernamePasswordAuthenticationFilter.class) — filtr czyta Bearer token i ustawia Authentication w SecurityContext."
"Co robi ExceptionTranslationFilter?","Łapie AuthenticationException i AccessDeniedException z dalszej części łańcucha i mapuje na 401 (entry point) lub 403."
"Jak włączyć STATELESS w Security 6?","http.sessionManagement(s -> s.sessionCreationPolicy(SessionCreationPolicy.STATELESS)) — Spring nie tworzy ani nie używa HttpSession."
