#separator:comma
#html:true
#notetype:Basic
#deck:Java::02 JVM
"Trzy główne fazy ładowania klasy w JVM?","Loading, Linking (Verification→Preparation→Resolution), Initialization."
"Co to tiered compilation w HotSpot?","Model łączący C1 i C2 w poziomy 0-4: 0=interpreter, 1-3=C1 (z profilowaniem), 4=C2 mocno optymalizujący."
"Jaka jest typowa ścieżka gorącej metody przez poziomy?","0 (interpreter) → 3 (C1 z pełnym profilem) → 4 (C2 z agresywnymi optymalizacjami)."
"Czym różni się C1 od C2?","C1 kompiluje szybko z lekkimi optymalizacjami (i profiluje); C2 kompiluje wolno, ale maksymalnie optymalizuje na podstawie profilu."
"Jak HotSpot wykrywa gorący kod?","Dwoma licznikami na metodę: invocation counter (liczba wywołań) i back-edge counter (iteracje pętli); po przekroczeniu progu metoda idzie do kompilacji."
"Co to OSR (On-Stack Replacement)?","Kompilacja i podmiana wykonania długiej pętli w locie, w środku działającej ramki stosu, gdy nagrzeje ją back-edge counter (np. pętla w main wywołanym raz)."
"Co to profile-guided optimization w JIT?","JIT mierzy w runtime, która gałąź if jest brana i jakie typy przewijają się przez call site, i na tej podstawie optymalizuje adaptacyjnie."
"Dlaczego inlining nazywa się ""matką optymalizacji""?","Sam usuwa koszt wywołania, ale głównie odsłania kolejne optymalizacje (escape analysis, constant folding, DCE) działające na zestawionym kodzie."
"Jakie są limity inliningu w HotSpot?","Rozmiar metody (MaxInlineSize ~35 B, gorące FreqInlineSize ~325 B), głębokość i budżet rozrostu callee; duże metody się nie inlinują."
"Co daje escape analysis, gdy obiekt nie ucieka z metody?","Scalar replacement (brak alokacji, pola w rejestrach), lock elision (usunięcie zbędnej synchronizacji) i lock coarsening (scalenie sąsiednich synchronized)."
"Co to devirtualizacja?","Zamiana wywołania wirtualnego na bezpośrednie (i inlining), gdy type profile pokazuje jeden typ (monomorphic); z guardem typu, którego porażka daje deopt."
"Co to deoptymalizacja / uncommon trap?","Powrót skompilowanego kodu do interpretera, gdy spekulatywne założenie przestaje być prawdziwe; metoda oznaczana ""made not entrant"" i może być rekompilowana."
"Po co istnieje deoptymalizacja?","Jest siecią bezpieczeństwa, która pozwala C2 robić agresywne, spekulatywne optymalizacje — bo złe założenie da się bezpiecznie cofnąć."
"Co się dzieje, gdy zapełni się code cache?","JVM przestaje kompilować (log ""CodeCache is full""), aplikacja cofa się do interpretera i drastycznie zwalnia; steruje tym ReservedCodeCacheSize."
"Czemu mikrobenchmark bez JMH kłamie?","Brak warm-upu (mierzy interpreter/C1), Dead Code Elimination usuwa nieużyty wynik, constant folding liczy stałe na etapie kompilacji, OSR kompiluje pętlę inaczej."
"Jak JMH zapobiega usunięciu wyniku przez DCE?","Konsumuje wyniki przez Blackhole (i robi warmup iterations, forki, izolację state), więc kod nie jest martwy."
"Jaka jest główna wada AOT/GraalVM native image wobec JIT?","Brak adaptacyjnych optymalizacji profilowych z runtime (devirtualizacja/spekulacje z realnego ruchu); na long-running throughput C2 zwykle wygrywa."
"Jaka jest główna zaleta native image wobec JIT?","Brak warm-upu, start w milisekundach i mniejszy RAM — idealne pod serverless/CLI i krótko żyjące procesy."
"Jakimi flagami podejrzeć kompilacje i inlining?","-XX:+PrintCompilation oraz -XX:+UnlockDiagnosticVMOptions -XX:+PrintInlining."
"Które runtime data areas są współdzielone przez wszystkie wątki?","Heap oraz metaspace (metadane klas). Stos, PC register i native method stack są per-thread."
"Gdzie żyją obiekty i tablice w JVM?","Zawsze na heap; na stosie leżą tylko zmienne lokalne prymitywów i referencje do obiektów."
"Co zastąpiło PermGen w Java 8?","Metaspace — metadane klas przeniesione z heapu do pamięci natywnej, rośnie dynamicznie do limitu OS/MaxMetaspaceSize."
"Z czego składa się nagłówek obiektu w HotSpot?","Mark word (hashcode, age GC, bity blokad) + klass pointer (wskaźnik do metadanych klasy w metaspace)."
"Po co padding w object layout?","Dopełnienie rozmiaru obiektu do wielokrotności 8 bajtów (8-byte alignment wymagany przez alokator)."
"Ile bajtów zajmuje pusty Object w HotSpot (compressed oops)?","16 bajtów (12 B nagłówka + 4 B paddingu)."
"Dlaczego compressed oops działają tylko do ~32 GB?","32-bitowa referencja + 8-byte alignment koduje adres jako oop<<3, co adresuje do 4G*8B ≈ 32 GB."
"Z czego składa się ramka stosu (stack frame)?","Local variable array (parametry+lokalne), operand stack (maszyna stosowa) i frame data (constant pool ref, adres powrotu, wyjątki)."
"Co siedzi w slocie 0 local variable array metody instancyjnej?","Referencja this."
"Czym jest TLAB i czemu daje szybką alokację?","Thread-Local Allocation Buffer — prywatny kawałek Edenu; alokacja to bump-the-pointer bez synchronizacji, kilka instrukcji CPU."
"Jakie są 4 typy referencji i po jednym zastosowaniu?","Strong (zwykłe), Soft (cache wrażliwy na pamięć), Weak (WeakHashMap), Phantom (Cleaner, sprzątanie zasobów natywnych)."
"Kiedy GC zbiera SoftReference vs WeakReference?","Weak — przy najbliższym GC gdy brak strong refs; Soft — dopiero gdy brakuje pamięci."
"Co robi escape analysis + scalar replacement?","Jeśli obiekt nie ucieka z metody, C2 rozbija go na skalary w rejestrach/na stosie — obiekt nie trafia na heap, GC nie sprząta."
"Które flagi mapują się na które obszary?","-Xms/-Xmx → heap; -Xss → stos wątku; -XX:MaxMetaspaceSize → metaspace."
"Czym różni się StackOverflowError od OutOfMemoryError?","SOE = wyczerpanie jednego stosu wątku (za głęboka rekurencja), dotyka wątek; OOM = wyczerpanie współdzielonego heapu/metaspace lub pamięci natywnej, kładzie proces."
"Co oznacza OutOfMemoryError: unable to create native thread?","Wyczerpano pamięć natywną/limit OS na stosy wątków (za dużo wątków × -Xss) — pomaga zmniejszenie -Xss/-Xmx lub virtual threads, nie większy heap."
"Jak wygląda przepływ obiektu przez generacje young?","Alokacja w Eden → Minor GC kopiuje żywych do Survivora (age++) → po MaxTenuringThreshold promocja do Old."
"Który GC jest domyślny w Java 21 i jak dzieli heap?","G1 GC — dzieli heap na regiony (nie ciągły young/old), zachowując logikę generacyjną rozłożoną po regionach."
