#separator:comma
#html:true
#notetype:Basic
#deck:Java::03 Współbieżność
"Jakie 4 ograniczenia ma zwykły Future?","Blokujący get, brak kompozycji, brak callbacków, brak deklaratywnej obsługi wyjątków."
"Hierarchia interfejsów Executor Framework?","Executor (execute) → ExecutorService (submit/Future, shutdown) → ScheduledExecutorService (schedule, cyklicznie)."
"Czym różni się execute od submit?","execute(Runnable) nic nie zwraca (wyjątek → UncaughtExceptionHandler); submit zwraca Future i przechwytuje wyjątek (wychodzi z get() jako ExecutionException)."
"Parametry ThreadPoolExecutor?","corePoolSize, maximumPoolSize, keepAliveTime, workQueue, threadFactory, RejectedExecutionHandler."
"Algorytm przyjmowania zadania w TPE?","Jeśli <core → nowy wątek; inaczej do kolejki; jeśli kolejka pełna i <max → nowy wątek; inaczej odrzuć przez handler."
"Kiedy TPE tworzy wątek ponad corePoolSize?","Dopiero gdy workQueue jest PEŁNA (a liczba wątków < maximumPoolSize) — nie gdy core są zajęte."
"Czemu nieograniczona kolejka unieważnia maximumPoolSize?","offer() do kolejki zawsze się udaje, więc nigdy nie dochodzi do kroku ""kolejka pełna → nowy wątek"" — pula nie rośnie ponad core."
"Zachowanie SynchronousQueue jako workQueue?","Pojemność 0, przekazanie z rąk do rąk; offer udaje się tylko gdy wątek czeka na odbiór → pula szybko rośnie do max (newCachedThreadPool)."
"Pułapka newFixedThreadPool?","Używa nieograniczonej LinkedBlockingQueue → zadania piętrzą się w pamięci → ryzyko OutOfMemoryError."
"Pułapka newCachedThreadPool?","maximumPoolSize = Integer.MAX_VALUE + SynchronousQueue → nieograniczona liczba wątków → wyczerpanie pamięci/CPU."
"Polityki RejectedExecutionHandler?","AbortPolicy (rzuca RejectedExecutionException), CallerRunsPolicy (wykonuje wątek zgłaszający — backpressure), DiscardPolicy (cicho gubi), DiscardOldestPolicy (usuwa najstarsze i ponawia)."
"Po co CallerRunsPolicy?","Backpressure — zadanie wykonuje wątek producenta, więc producent zwalnia zamiast przeciążać pulę."
"Rola ThreadFactory?","Kontrola tworzonych wątków: nazwa (thread dumpy), daemon, priorytet, UncaughtExceptionHandler."
"shutdown vs shutdownNow?","shutdown — kończy przyjęte, odrzuca nowe; shutdownNow — interrupt na wątkach, opróżnia kolejkę i zwraca nieuruchomione zadania."
"Do czego awaitTermination?","Blokuje (z timeoutem) aż pula faktycznie się wygasi; sam shutdown() nie czeka na zakończenie."
"Jakie wyjątki rzuca Future.get?","ExecutionException (opakowuje wyjątek zadania, przyczyna w getCause()), InterruptedException, CancellationException; get(timeout) też TimeoutException."
"Co to work-stealing w ForkJoinPool?","Każdy wątek ma własną deque zadań; bezczynny wątek ""kradnie"" zadania z końca deque zajętego — wyrównuje obciążenie, minimalizuje rywalizację."
"Czemu nie blokować na ForkJoinPool.commonPool()?","Common pool jest współdzielony przez parallel streams i domyślnie CompletableFuture; blokada zagładza wszystkie inne zadania w JVM — podaj własny executor."
"Wzór Goetza na rozmiar puli?","N_threads = N_cpu * U_cpu * (1 + W/C), gdzie W/C to stosunek czasu oczekiwania do obliczeń."
"Ile wątków dla CPU-bound vs IO-bound?","CPU-bound ≈ liczba rdzeni + 1; IO-bound znacznie więcej (wątki głównie czekają)."
"Czy pulować virtual threads (Java 21)?","Nie — są tak tanie, że tworzy się wątek na zadanie (newVirtualThreadPerTaskExecutor); pule zostają dla CPU-bound i jako limiter zasobów."
"Proces vs wątek — pamięć?","Procesy izolowane (osobny heap, IPC); wątki współdzielą heap tego samego procesu, mają tylko własny stos i PC."
"Współbieżność vs równoległość?","Concurrency = struktura/przeplatanie wielu zadań w tym samym okresie; parallelism = fizyczne wykonanie naraz na wielu rdzeniach."
"Po co współbieżność?","Przepustowość (throughput), responsywność (nie blokować UI/I/O), wykorzystanie wielu rdzeni."
"start() vs run()?","start() tworzy nowy wątek i wywołuje w nim run(); run() bezpośrednio to zwykłe synchroniczne wywołanie w bieżącym wątku."
"Runnable vs Callable?","Runnable: void run(), bez wyniku i bez checked exception; Callable<V>: V call() throws Exception — zwraca wynik i może rzucić wyjątek."
"Stany wątku w Javie?","NEW, RUNNABLE, BLOCKED, WAITING, TIMED_WAITING, TERMINATED."
"Kiedy wątek jest BLOCKED?","Gdy czeka na wejście do bloku synchronized (monitor zajęty przez inny wątek)."
"WAITING vs TIMED_WAITING?","WAITING — czekanie bezterminowe (wait/join/park); TIMED_WAITING — z limitem czasu (sleep(t)/wait(t)/join(t))."
"Jaki jest scheduler wątków w JVM?","Preemptive, zarządzany przez OS — brak gwarancji kolejności i sprawiedliwości; priority to tylko podpowiedź."
"Wątek daemon vs user?","JVM kończy się, gdy zostają tylko wątki daemon (ubijane bez cleanup); user thread trzyma JVM przy życiu."
"Co robi interrupt()?","Ustawia flagę interrupt status (kooperacyjnie); metody blokujące rzucają InterruptedException i czyszczą flagę."
"Jak poprawnie obsłużyć InterruptedException?","Nie połykać: albo przywrócić flagę (Thread.currentThread().interrupt()), albo propagować wyjątek wyżej."
"Czy sleep() zwalnia locki?","Nie — sleep() usypia wątek, ale trzyma monitory; w przeciwieństwie do wait(), które zwalnia monitor."
"Co robi Thread.join()?","Bieżący wątek czeka, aż docelowy wątek się zakończy."
"Race condition vs data race?","Race condition — poprawność zależy od kolejności wątków; data race — nieusynchronizowany dostęp do zmiennej z zapisem (formalnie, z modelu pamięci)."
"Dlaczego count++ nie jest atomowy?","To read-modify-write (odczyt, +1, zapis) — trzy kroki, które inny wątek może przeplecieć → zgubione aktualizacje."
"4 warunki Coffmana deadlocku?","Mutual exclusion, hold and wait, no preemption, circular wait — złamanie któregokolwiek eliminuje deadlock."
"Jak najłatwiej zapobiec deadlockowi?","Złamać circular wait — narzucić globalną kolejność zajmowania locków."
"Livelock vs starvation?","Livelock — wątki działają, ale w kółko reagują na siebie bez postępu; starvation — wątek nigdy nie dostaje zasobu/CPU."
"Poziomy thread-safety?","Immutable, thread-safe (bezwarunkowo), conditionally thread-safe (wymaga synchronizacji klienta), not thread-safe."
"Koszt platform thread?","Stos ~1 MB, koszt context switchu, ograniczony limit liczby wątków — stąd virtual threads w Java 21."
"Na jakim obiekcie blokuje synchronized metoda instancyjna?","Na this (intrinsic lock/monitor tego obiektu)."
"Na jakim obiekcie blokuje synchronized metoda statyczna?","Na obiekcie Klasa.class (inny monitor niż this)."
"Co znaczy, że intrinsic lock jest reentrant?","Ten sam wątek może wejść ponownie w synchronized na tym samym obiekcie bez zakleszczenia siebie (licznik wejść)."
"Czemu blokować na prywatnym final locku, a nie na this?","Obcy kod mógłby pozyskać ten sam publiczny monitor i spowodować deadlock; dedykowany lock jest niedostępny z zewnątrz."
"Czym różni się ziarno blokady: metoda vs blok synchronized?","Metoda blokuje całe ciało; blok pozwala zawęzić sekcję krytyczną do minimum (mniejsze ziarno, większa równoległość)."
"Czemu wait() musi być w pętli while, a nie if?","Przez spurious wakeups oraz zmianę warunku między obudzeniem a odzyskaniem monitora — warunek trzeba sprawdzić ponownie."
"Czemu notifyAll jest bezpieczniejszy niż notify?","notify może obudzić wątek czekający na inny warunek (lost/missed signal); notifyAll budzi wszystkich i właściwy sprawdzi warunek."
"Gdzie muszą być wołane wait/notify/notifyAll?","Pod pozyskanym monitorem tego samego obiektu, inaczej IllegalMonitorStateException."
"Co robi wait() z monitorem?","Zwalnia monitor i usypia wątek do notify/interrupt/timeout, po obudzeniu ponownie pozyskuje monitor."
"Czym ReentrantLock góruje nad synchronized?","tryLock (z timeoutem), fairness, lockInterruptibly, wiele Condition — kosztem ręcznego unlock w finally."
"Gdzie zwalniać jawny Lock?","Zawsze w bloku finally (lock.unlock()), bo w przeciwieństwie do synchronized nie zwalnia się sam."
"Kiedy ReadWriteLock?","Gdy dużo odczytów, mało zapisów — wielu czytelników naraz (read shared), jeden pisarz wyłącznie (write)."
"Co daje StampedLock optimistic read?","tryOptimisticRead + validate(stamp): odczyt bez blokady, jeśli nikt nie pisał — najszybszy przy dominacji odczytów."
"Co to CAS (compare-and-swap)?","Atomowa instrukcja CPU: ustaw pole na new tylko jeśli ma wartość expected; podstawa lock-free (atomics w pętli spin)."
"Na czym polega problem ABA?","Wartość zmienia się A->B->A, więc CAS się powiedzie mimo zmian; rozwiązanie: AtomicStampedReference (wartość+wersja)."
"Kiedy LongAdder zamiast AtomicLong?","Przy dużej rywalizacji na liczniku — rozprasza zapisy na wiele komórek (Cell[]) i sumuje w sum(); szybszy zapis, droższy odczyt."
"Jak ConcurrentHashMap obsługuje zapis?","Pusty kubełek: wstawienie przez CAS; zajęty: synchronized na pierwszym węźle kubełka — różne kubełki równolegle."
"Czemu odczyty w ConcurrentHashMap są bez blokad?","Pola węzłów są volatile, więc get widzi spójny stan bez synchronizacji — stąd skalowalność."
"Czemu ConcurrentHashMap nie dopuszcza null?","get()==null byłoby dwuznaczne: brak klucza czy wartość null — więc null jest zakazany."
"Kiedy CopyOnWriteArrayList?","Dużo odczytów, mało zapisów (np. listenery); zapis kopiuje całą tablicę, iteracja bez blokad na snapshocie."
"CountDownLatch vs CyclicBarrier?","Latch jednorazowy (await czeka aż licznik zejdzie do 0); Barrier wielokrotny punkt spotkania N wątków, reużywalny."
"Do czego Semaphore?","Zarządza N pozwoleniami (acquire/release) — ogranicza liczbę wątków w sekcji (np. rate limit / pula)."
"Jak unikać deadlocku?","Stała globalna kolejność pozyskiwania blokad oraz tryLock z timeoutem (zwolnij i ponów zamiast hold-and-wait)."
"Co to false sharing?","Niezależne zmienne w tej samej linii cache (~64B) wzajemnie unieważniają ją między rdzeniami; padding (@Contended) temu zapobiega."
"Co to virtual thread (Java 21)?","Lekki wątek harmonogramowany przez JVM na puli carrier threads; stos na heapie, mogą być miliony naraz."
"Który JEP i wersja ustabilizowały virtual threads?","JEP 444, Java 21 (stabilne, nie preview)."
"Kto harmonogramuje virtual thread, a kto platform thread?","Virtual — JVM (na carrier threads), platform — system operacyjny."
"Co to carrier thread?","Wątek platformy (OS) z puli, na którym JVM montuje wątki wirtualne; domyślnie ForkJoinPool ≈ liczba rdzeni."
"Ile pamięci zajmuje stos platform thread?","Ok. 1 MB (rezerwowany), stąd praktyczny limit tysięcy wątków OS."
"Co to mounting i unmounting?","Mount = uruchomienie virtual threada na carrierze; unmount = odmontowanie przy blokującym IO, by nośnik obsłużył inne."
"Co dzieje się przy blokującym IO w virtual threadzie?","Wątek się odmontowuje (stos na heap), nośnik obsługuje inne zadania, a po gotowości IO wątek jest wznawiany."
"Jaki mechanizm realizuje virtual threads pod spodem?","Delimited continuations (yield/resume) — zamrożenie i wznowienie stosu; virtual thread = continuation + scheduler."
"Dlaczego blokujące IO nie blokuje nośnika w Loom?","Biblioteki java.* (sockety, sleep, locki) są Loom-aware — ustępują (unmount) zamiast blokować wątek OS."
"Co to pinning?","Sytuacja, gdy virtual thread nie może się odmontować i blokuje carrier thread — traci korzyść z Loom."
"Co przypina virtual thread w Java 21?","Blok synchronized oraz ramki natywne (JNI/FFM)."
"Czym zastąpić synchronized, by uniknąć pinningu?","ReentrantLock (jest Loom-aware, pozwala na unmount)."
"Jak zdiagnozować pinning?","Flagą -Djdk.tracePinnedThreads=full."
"Kiedy virtual threads NIE pomagają?","Przy zadaniach CPU-bound — nie ma czego odmontować, i tak ogranicza liczba rdzeni."
"Czy należy pulować virtual thready?","Nie — są tanie, jeden wątek na zadanie; do ograniczenia współbieżności użyj Semaphore."
"Jak stworzyć virtual thread?","Thread.startVirtualThread(r), Thread.ofVirtual().start(r) lub Executors.newVirtualThreadPerTaskExecutor()."
"Co z ThreadLocal przy milionach virtual threads?","Działa, ale kosztuje pamięć; rozważ ScopedValue (preview w 21, JEP 446)."
"Co to StructuredTaskScope i jaki ma status w Java 21?","Structured concurrency (JEP 453) — grupa pod-zadań jako jednostka; w Java 21 preview."
"Jak virtual threads zmieniają Springa?","Włączenie (spring.threads.virtual.enabled) daje wyższy throughput bez przepisywania na reaktywność."
"Virtual threads vs reaktywność — główna przewaga?","Prosty, blokujący, debugowalny kod (czytelny stacktrace) zamiast callback hell i colored functions."
